Provinsi_ID,Kabupaten_ID,Nama Kabupaten
11,1101,KABUPATEN SIMEULUE
11,1102,KABUPATEN ACEH SINGKIL
11,1103,KABUPATEN ACEH SELATAN
11,1104,KABUPATEN ACEH TENGGARA
11,1105,KABUPATEN ACEH TIMUR
11,1106,KABUPATEN ACEH TENGAH
11,1107,KABUPATEN ACEH BARAT
11,1108,KABUPATEN ACEH BESAR
11,1109,KABUPATEN PIDIE
11,1110,KABUPATEN BIREUEN
11,1111,KABUPATEN ACEH UTARA
11,1112,KABUPATEN ACEH BARAT DAYA
11,1113,KABUPATEN GAYO LUES
11,1114,KABUPATEN ACEH TAMIANG
11,1115,KABUPATEN NAGAN RAYA
11,1116,KABUPATEN ACEH JAYA
11,1117,KABUPATEN BENER MERIAH
11,1118,KABUPATEN PIDIE JAYA
11,1171,KOTA BANDA ACEH
11,1172,KOTA SABANG
11,1173,KOTA LHOKSEUMAWE
11,1174,KOTA LANGSA
11,1175,KOTA SUBULUSSALAM
12,1201,KABUPATEN NIAS
12,1202,KABUPATEN MANDAILING NATAL
12,1203,KABUPATEN TAPANULI SELATAN
12,1204,KABUPATEN TAPANULI TENGAH
12,1205,KABUPATEN TAPANULI UTARA
12,1206,KABUPATEN TOBA SAMOSIR
12,1207,KABUPATEN LABUHAN BATU
12,1208,KABUPATEN ASAHAN
12,1209,KABUPATEN SIMALUNGUN
12,1210,KABUPATEN DAIRI
12,1211,KABUPATEN KARO
12,1212,KABUPATEN DELI SERDANG
12,1213,KABUPATEN LANGKAT
12,1214,KABUPATEN NIAS SELATAN
12,1215,KABUPATEN HUMBANG HASUNDUTAN
12,1216,KABUPATEN PAKPAK BHARAT
12,1217,KABUPATEN SAMOSIR
12,1218,KABUPATEN SERDANG BEDAGAI
12,1219,KABUPATEN BATU BARA
12,1220,KABUPATEN PADANG LAWAS UTARA
12,1221,KABUPATEN PADANG LAWAS
12,1222,KABUPATEN LABUHAN BATU SELATAN
12,1223,KABUPATEN LABUHAN BATU UTARA
12,1224,KABUPATEN NIAS UTARA
12,1225,KABUPATEN NIAS BARAT
12,1271,KOTA SIBOLGA
12,1272,KOTA TANJUNG BALAI
12,1273,KOTA PEMATANG SIANTAR
12,1274,KOTA TEBING TINGGI
12,1275,KOTA MEDAN
12,1276,KOTA BINJAI
12,1277,KOTA PADANG SIDIMPUAN
12,1278,KOTA GUNUNG SITOLI
13,1301,KABUPATEN KEPULAUAN MENTAWAI
13,1302,KABUPATEN PESISIR SELATAN
13,1303,KABUPATEN SOLOK
13,1304,KABUPATEN SIJUNJUNG
13,1305,KABUPATEN TANAH DATAR
13,1306,KABUPATEN PADANG PARIAMAN
13,1307,KABUPATEN AGAM
13,1308,KABUPATEN LIMA PULUH KOTA
13,1309,KABUPATEN PASAMAN
13,1310,KABUPATEN SOLOK SELATAN
13,1311,KABUPATEN DHARMASRAYA
13,1312,KABUPATEN PASAMAN BARAT
13,1371,KOTA PADANG
