MP_ID,Nama Major Project
1,00 - Bukan Major Project
2,01 - Industri 4.0 di 6 Subsektor Prioritas
3,02 - Destinasi Pariwisata Prioritas
4,03 - Kawasan Industri Prioritas dan Smelter
5,04 - Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan
6,05 - Akselerasi Pengembangan Energi Terbarukan dan Konservasi Energi
7,06 - Revitalisasi Tambak di Kawasan Sentra Produksi Udang dan Bandeng
8,08 - Pembangunan Wilayah Batam-Bintan
9,"09 - Pengembangan Wilayah Metropolitan (WM): Palembang, Denpasar, Banjarmasin, Makassar"
10,15 - Percepatan Penurunan Kematian Ibu dan Stunting
11,17 - Pendidikan dan Pelatihan Vokasi untuk Industri 4.0
12,18 - Reformasi Sistem Perlindungan Sosial
13,22 - Jaringan Pelabuhan Utama Terpadu
14,23 - Sistem Angkutan Umum Massal Perkotaan di 6 Wilayah Metropolitan
15,26 - Transformasi Digital
16,27 - Pengamanan Pesisir 5 Perkotaan Pantura Jawa
17,28 - 18 Waduk Multiguna
18,29 - Pembangunan Sistem Angkutan Umum Massal Perkotaan
19,"30 - Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan"
20,32 - Akses Sanitasi (air limbah domestik) Layak dan Aman (90 persen Rumah Tangga)
21,33 - Akses Air Minum Perpipaan (10 Juta Sambungan Rumah)
22,34 - Rumah Susun Perkotaan (1 Juta)
23,35 - Infrastruktur Jaringan Gas Kota untuk 4 Juta Sambungan Rumah
24,36 - Pemulihan 4 DAS Kritis
25,38 - Pembangunan Fasilitas Pengolahan Limbah B3
26,39 - Penguatan Sistem Peringatan Dini Bencana
27,43 - Food Estate (Kawasan Sentra Produksi Pangan)
28,45 - Manajemen Aset Lahan dalam Pemberdayaan Masyarakat (Reforma Agraria)
