Mitra_ID,Nama Direktorat Mitra,Deputi
1,"Direktorat Sistem dan Prosedur Pemantauan, Pemantauan, Evaluasi dan Pengendalian Pembangunan",1
2,"Direktorat Pemantauan, Evaluasi dan Pengendalian Pembangunan Sektoral",1
3,"Direktorat Pemantauan, Evaluasi dan Pengendalian Pembangunan Daerah",1
4,Direktorat Evaluasi dan Pengendalian Penyusunan Perencanaan Pembangunan,1
5,Direktorat Tata Ruang dan Penanganan Bencana,2
6,Direktorat Regional I,2
7,Direktorat Regional II,2
8,Direktorat Regional III,2
9,Direktorat Pembangunan Daerah,2
10,Direktorat Pangan dan Pertanian,3
11,Direktorat Kehutanan dan Konservasi Sumber Daya Air,3
12,Direktorat Kelautan dan Perikanan,3
13,"Direktorat Sumber Daya Energi, Mineral dan Pertambangan",3
14,Direktorat Lingkungan Hidup,3
15,Direktorat Kependudukan dan Jaminan Sosial,4
16,Direktorat Ketenagakerjaan,4
17,Direktorat Penanggulangan Kemiskinan dan Pemberdayaan Masyarakat,4
18,"Direktorat Pengembangan Usaha Kecil, Menengah dan Koperasi",4
19,Direktorat Kesehatan dan Gizi Masyarakat,5
20,"Direktorat Agama, Pendidikan, dan Kebudayaan",5
21,"Direktorat Pendidikan Tinggi, dan Ilmu Pengetahuan dan Teknologi",5
22,"Direktorat Keluarga, Perempuan, Anak, Pemuda dan Olahraga",5
23,Direktorat Politik dan Komunikasi,6
24,Direktorat Aparatur Negara,6
25,Direktorat Hukum dan Regulasi,6
26,Direktorat Politik Luar Negeri dan Kerjasama Pembangunan Internasional,6
27,Direktorat Pertahanan dan Keamanan,6
28,Direktorat Perencanaan Makro dan Analisis Statistik,7
29,Direktorat Keuangan Negara dan Analisa Moneter,7
30,Direktorat Jasa Keuangan dan BUMN,7
31,"Direktorat Perdagangan Investasi, dan Kerjasama Ekonomi Internasional",7
32,"Direktorat Industri, Pariwisata dan Ekonomi Kreatif",7
33,Direktorat Pengairan dan Irigasi,8
34,Direktorat Transportasi,8
35,"Direktorat Ketenagalistrikan, Telekomunikasi dan Informatika",8
36,Direktorat Perencanaan dan Pengembangan Proyek Infrastruktur Prioritas Nasional,8
37,Direktorat Perumahan dan Pemukiman,8
38,Direktorat Perencanaan Pendanaan Pembangunan,9
39,Direktorat Alokasi Pendanaan Pembangunan,9
40,Direktorat Kerja Sama Pendanaan Bilateral,9
41,Direktorat Kerja Sama Pendanaan Multilateral,9
42,Direktorat Pengembangan Pendanaan Pembangunan,9
