X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
1107,Aceh,Aceh Barat,Aceh Barat (ABAR),6.67,null,null,null,null,null,null,216,213,0,42,40,2,578,187,356,35,null,Tanggal,8/3/2021,2928,189119,65,67.56,61.59,5.97,19.56,0.45,305.63,206.75,327.84,228.96,44.23,10.7,0.1,0.16,0.33,6.35,6.67,98.88,Asumsi PDP &gt; Pos,35
1112,Aceh,Aceh Barat Daya,Aceh Barat Daya (ABDYA),5.89,null,null,null,null,null,null,202,202,0,51,45,4,241,10,212,19,null,Tanggal,8/3/2021,1491,148687,100,95.84,87.97,7.88,15.47,1.05,162.09,155.36,196.39,188.32,39.33,9.7,0.1,0.16,0.15,5.75,5.89,6.73,Asumsi Suspect &gt; Pos,30
1108,Aceh,Aceh Besar,Aceh Besar (ABES),8.12,null,null,null,null,null,null,183,183,0,25,24,1,3841,1424,2286,131,null,Tanggal,8/3/2021,2969,384661,130,62.93,59.52,3.41,34.32,0.05,998.54,628.35,1005.04,634.84,58.58,17.82,0.09,0.15,0.34,7.78,8.12,370.2,Asumsi Tracing (exp),3
1116,Aceh,Aceh Jaya,Aceh Jaya (AJAY),6.87,null,null,null,null,null,null,122,120,0,1,1,0,324,61,244,19,null,Tanggal,8/3/2021,3813,86058,23,81.15,75.31,5.85,22.08,0.38,376.49,305.61,377.65,306.77,46.99,12.38,0.15,0.25,0.48,6.39,6.87,70.88,Asumsi Tracing (used),5
1103,Aceh,Aceh Selatan,Aceh Selatan (ASEL),7.11,null,null,null,null,null,null,267,266,0,6,2,4,461,55,363,43,null,Tanggal,8/3/2021,3842,230254,60,88.81,78.74,10.06,20.41,0.59,200.21,176.33,202.82,178.93,45.18,9.46,0.09,0.15,0,7.12,7.11,23.89,null,null
1102,Aceh,Aceh Singkil,Aceh Singkil (SKL),5,null,null,null,null,null,null,7,7,0,3,3,0,535,159,358,18,null,Tanggal,8/3/2021,2185,129963,59,70.26,66.92,3.35,13.85,0.02,411.66,289.31,413.96,291.62,37.22,12.08,0.1,0.16,0.57,4.43,5,122.34,null,null
1114,Aceh,Aceh Tamiang,Aceh Tamiang (ATAM),7.34,null,null,null,null,null,null,335,316,0,9,8,1,982,197,718,67,null,Tanggal,8/3/2021,1957,287733,147,79.98,73.12,6.86,23.63,0.35,341.29,272.82,344.42,275.95,48.61,11.75,0.09,0.14,0.27,7.07,7.34,68.47,null,null
1106,Aceh,Aceh Tengah,Aceh Tengah (ATENG),6.49,null,null,null,null,null,null,296,286,0,31,22,8,814,157,622,35,null,Tanggal,8/3/2021,4318,208407,48,81.5,76.41,5.09,20.63,0.4,390.58,315.25,405.46,329.64,45.42,12.84,0.1,0.16,0.68,5.8,6.49,75.33,null,null
1104,Aceh,Aceh Tenggara,Aceh Tenggara (AGARA),1.4,null,null,null,null,null,null,306,303,0,1,0,1,245,65,177,3,null,Tanggal,8/3/2021,4231,221684,52,73.87,72.24,1.63,1.8,1.25,110.52,81.2,110.97,81.65,13.43,6.39,0.03,0.05,0,1.4,1.4,29.32,null,null
1105,Aceh,Aceh Timur,Aceh Timur (ATIM),3.67,null,null,null,null,null,null,158,158,0,94,86,8,339,135,187,17,null,Tanggal,8/3/2021,6286,422261,67,60.94,55.16,5.77,5.92,0.74,80.28,48.31,102.54,70.57,24.33,5.94,0.04,0.06,0,3.67,3.67,31.97,null,null
